proposition,proposition_type,proposition_concepts,implication,implication_concepts,given_concepts,implicit_given_concepts,requirement,relation_instance,implicit_relations,implicit_operation_in_relation,operation_instance,implicit_operations,gist,moral,notes
Proposition_33,theorem,"equals, are_parallel, is_on_the_same_part, join, finite_straight_line",,,,,,"are_parallel(finite_straight_line, finite_straight_line)",,,,,,,
Proposition_33,,,,,,,,"equals(finite_straight_line, finite_straight_line)",,,,,,,
Proposition_33,,,,,,,,"joining_on_the_same_part(finite_straight_line, finite_straight_line, finite_straight_line, finite_straight_line)",,,,,,,
Proposition_34,theorem,"parallelogrammic_figure, side, is_opposite_to, angle, equals, corresponding, diameter, cut_into_two_halves, side",,,,,,"is_opposite_to(side, side)",,,,,,,
Proposition_34,,,,,,,,"cut_into_two_halves(diameter, parallelogram)",,,,,,,
Proposition_34,,,,,,,,"cut_into_two_halves(diameter, angle)",,,,,,,
Proposition_34,,,,,,,,"equals(side, side)",,,,,,,
Proposition_34,,,,,,,,"equals(angle, angle)",,,,,,,
Proposition_34,,,,,,,,"is_opposite_to(angle, angle)",,,,,,,
Proposition_35,theorem,"parallelogram, is_on_the_same_part, base_of_parallelogram, are_parallel, equals, corresponding, straight_line",,,,,,"are_parallel(finite_straight_line, finite_straight_line)",,,,,,,
Proposition_35,,,,,,,,"is_placed_on(base_of_parallelogram, parallelogram)",,,,,,,
Proposition_35,,,,,,,,"is_placed_on(straight_line, parallelogram)",,,,,,,
Proposition_35,,,,,,,,"equals(parallelogram, parallelogram)",,,,,,,
Proposition_35,,,,,,,,"are_same(straight_line, straight_line)",,,,,,,
Proposition_36,theorem,"parallelogram, base_of_parallelogram, are_same, are_parallel, equals, straight_line",,,,,,"are_parallel(straight_line, straight_line)",,,,,,,
Proposition_36,,,,,,,,"are_same(base_of_parallelogram, base_of_parallelogram)",,,,,,,
Proposition_36,,,,,,,,"are_same(straight_line, straight_line)",,,,,,,
Proposition_36,,,,,,,,"equals(parallelogram, parallelogram)",,,,,,,
Proposition_37,theorem,"triangle, are_same, base_of_triangle, are_parallel, equals, is_placed_on, straight_line",,,,,,"are_same(base_of_triangle, base_of_triangle)",,,,,,,
Proposition_37,,,,,,,,"are_same(straight_line, straight_line)",,,,,,,
Proposition_37,,,,,,,,"equals(triangle, triangle)",,,,,,,
Proposition_37,,,,,,,,"is_placed_on(triangle, base_of_triangle)",,,,,,,
Proposition_37,,,,,,,,"is_placed_on(triangle, straight_line)",,,,,,,
Proposition_37,,,,,,,,"are_parallel(straight_line, straight_line)",,,,,,,
Proposition_38,theorem,"triangle, are_same, base_of_triangle, are_parallel, equals, straight_line",,,,,,"equals(triangle, triangle)",,,,,,,
Proposition_38,,,,,,,,"are_same(straight_line, straight_line)",,,,,,,
Proposition_38,,,,,,,,"equals(base_of_triangle, base_of_triangle)",,,,,,,
Proposition_38,,,,,,,,"is_placed_on(triangle, base_of_triangle)",,,,,,,
Proposition_38,,,,,,,,"is_placed_on(triangle, straight_line)",,,,,,,
Proposition_38,,,,,,,,"are_parallel(straight_line, straight_line)",,,,,,,
Proposition_38,,,,,,,,"are_in_the_same_parallels(triangle, triangle, straight_line, straight_line)",,,,,,,
Proposition_39,theorem,"equals, triangle, are_same, base_of_triangle, is_on_the_same_part, are_parallel, straight_line",,,,,,"equals(triangle, triangle)",,,,,,,
Proposition_39,,,,,,,,"is_placed_on(triangle, base_of_triangle)",,,,,,,
Proposition_39,,,,,,,,"are_same(base_of_triangle, base_of_triangle)",,,,,,,
Proposition_39,,,,,,,,"is_placed_on(triangle, straight_line)",,,,,,,
Proposition_39,,,,,,,,"are_same(straight_line, straight_line)",,,,,,,
Proposition_39,,,,,,,,"is_on_the_same_part(triangle, triangle)",,,,,,,
Proposition_39,,,,,,,,"are_parallel(straight_line, straight_line)",,,,,,,
Proposition_39,,,,,,,,"are_in_the_same_parallels(triangle, triangle, straight_line, straight_line)",,,,,,,
Proposition_40,theorem,"equals, triangle, are_same, base_of_triangle, is_on_the_same_part, are_parallel, straight_line",,,,,,"equals(triangle, triangle)",,,,,,,
Proposition_40,,,,,,,,"is_placed_on(triangle, base_of_triangle)",,,,,,,
Proposition_40,,,,,,,,"equals(base_of_triangle, base_of_triangle)",,,,,,,
Proposition_40,,,,,,,,"is_placed_on(triangle, straight_line)",,,,,,,
Proposition_40,,,,,,,,"is_on_the_same_part(triangle, triangle)",,,,,,,
Proposition_40,,,,,,,,"is_placed_on(triangle, straight_line)",,,,,,,
Proposition_40,,,,,,,,"are_parallel(straight_line, straight_line)",,,,,,,
Proposition_41,theorem,"parallelogram, triangle, base_of_triangle, base_of_parallelogram, are_parallel, straight_line, have_same_base, is_double",,,,,,"have_same_base(parallelogram, triangle)",,,,,,,
Proposition_41,,,,,,,,"are_same(base, base)",,,,,,,
Proposition_41,,,,,,,,"is_placed_on(parallelogram, base)",,,,,,,
Proposition_41,,,,,,,,"is_placed_on(triangle, base)",,,,,,,
Proposition_41,,,,,,,,"is_double(parallelogram, triangle)",,,,,,,
Proposition_42,construction,"triangle, equals, parallelogram, construct_in, rectilinear_angle",,,"triangle, rectilinear_angle",,,"equals(triangle, parallelogram)",,,"construct_in(parallelogram, rectilinear_angle)->parallelogram",,,,
Proposition_43,theorem,"parallelogram, diameter_of_parallelogram, equals, complement_of_parallelogram, is_placed_on",,,,,,"is_placed_on(complement_of_parallelogram, diameter_of_parallelogram)",,,,,,,
Proposition_43,,,,,,,,"equals(complement_of_parallelogram, complement_of_parallelogram)",,,,,,,
Proposition_43,,,,,,,,"are_placed_about(complement_of_parallelogram, complement_of_parallelogram, diameter_of_parallelogram)",,,,,,,
Proposition_44,construction,"triangle, equals, parallelogram, rectilinear_angle, apply_to, apply_in, finite_straight_line",,,"triangle, rectilinear_angle, finite_straight_line",,,"equals(parallelogram, triangle)",,,"apply_to(finite_straight_line, parallelogram)->parallelogram",,,,
Proposition_44,,,,,,,,"equals(angle_of_parallelogram, angle)",,,"apply_in(rectilinear_angle, parallelogram)->parallelogram",,,,
Proposition_45,construction,"rectilinear_angle, equals, parallelogram, rectilinear_figure, construct_in",,,"rectilinear_angle, rectilinear_figure",,,"equals(parallelogram, rectilinear_figure)",,,"construct_in(parallelogram, rectilinear_angle)->parallelogram",,,,
Proposition_46,construction,"describe_on, finite_straight_line, square",,,finite_straight_line,,,,,,"describe_on(square, finite_straight_line)->square",,,,
Proposition_47,theorem,"is_right_angled, triangle, right_angle, square, subtended_by, equals, encompassing, side_of_triangle, is_placed_on",,,,,,"equals(square, sum(square, square))",,"sum(square, square)->rectilinear_figure",,,,,
Proposition_47,,,,,,,,"equals(square, rectilinear_figure)",,,,,,,
Proposition_47,,,,,,,,"subtended_by(side_of_triangle, right_angle)",,,,,,,
Proposition_47,,,,,,,,"encompassing(side_of_triangle, side_of_triangle, right_angle)",,,,,,,
Proposition_47,,,,,,,,"is_placed_on(square, side_of_triangle)",,,,,,,
Proposition_47,,,,,,,,is_right_angled(triangle),,,,,,,
Proposition_48,theorem,"triangle, one, side_of_triangle, square, is_placed_on, equals, remaining, two, encompassing, right_angle",,,,,,"is_placed_on(square, side_of_triangle)",,,,,,,
Proposition_48,,,,,,,,"equals(square, sum(square, square))",,"sum(square, square)->rectilinear_figure",,,,,
Proposition_48,,,,,,,,"encompassing(side_of_triangle, side_of_triangle, angle)",,,,,,,
Proposition_48,,,,,,,,remaining(side_of_triangle),,,,,,,
