relation_instance,relation_instance_concepts,equivalent_to,relation_type,relation_type_concepts,synonym,notes
"is_placed_on(square, side_of_triangle)",,,"is_placed_on(diagrammatic_object, diagrammatic_object)",,,
"is_placed_on(straight_line, parallelogram)",,,"is_placed_on(diagrammatic_object, diagrammatic_object)",,,
"is_placed_on(straight_line, point)",,,"is_placed_on(diagrammatic_object, diagrammatic_object)",,,
"is_placed_on(straight_line, straight_line)",,,"is_placed_on(diagrammatic_object, diagrammatic_object)",,,
"is_placed_on(triangle, base_of_triangle)",,,"is_placed_on(diagrammatic_object, diagrammatic_object)",,,
"is_placed_on(triangle, base)",,,,,,
"is_placed_on(triangle, straight_line)",,,"is_placed_on(diagrammatic_object, diagrammatic_object)",,,
is_rectangular(parallelogram),,,,,,
is_right_angle(angle),,,,,,
is_right_angle(right_angle),,,,,,
is_right_angled(triangle),,,is_right_angled(rectilinear_figure),,,
is_triangle(triangle),,,,,,
"joining_on_the_same_part(finite_straight_line, finite_straight_line, finite_straight_line, finite_straight_line)",,,,,,
"less_than(angle, angle)",,,,,,
"less_than(base_of_triangle, base_of_triangle)",,,,,,
"less_than(side_of_triangle, side_of_triangle)",,,,,,
"meet_at_point(straight_line, straight_line, point)",,,,,,
"meet_on_the_part_of(straight_line, straight_line, angle, angle)",,,,,,
"meet_on_the_part_of(straight_line, straight_line, point, point)",,,,,,
"meet(straight_line, straight_line)",,,,,,
remaining_sides_of(triangle),,,remaining(object),,,
remaining(angle),,,remaining(object),,,
remaining(complement_of_parallelogram),,,,,,
remaining(finite_straight_line),,,,,,
"remaining(interior_angle_of_triangle, interior_angle_of_triangle)",,,remaining(object),,,
remaining(interior_angle_of_triangle),,,,,,
remaining(side_of_triangle),,,remaining(object),,,
remaining(trapezium),,,,,,
"set_up_equal_to(finite_straight_line, straight_line)->finite_straight_line",,,,,,
"smaller_than(angle, angle",,,"smaller_than(magnitude, magnitude)",,,
"smaller_than(angle, angle)",,,,,,
"smaller_than(finite_straight_line, finite_straight_line)",,,"smaller_than(magnitude, magnitude)",,,
"smaller_than(triangle, triangle)",,,,,,
"subtended_by(angle, angle, finite_straight_line)",,,,,,
"subtended_by(angle, finite_straight_line, finite_straight_line)",,,,,,
"subtended_by(angle, side_of_parallelogram, side_of_parallelogram)",,,,,,
"subtended_by(angle, side_of_triangle, side_of_triangle)",,,"subtended_by(angle, straight_line, straight_line)",,,
"subtended_by(angle, side_of_triangle, side_of_triangle)",,"encompassing(side_of_triangle, side_of_triangle, angle)","subtended_by(angle, straight_line, straight_line)",,,
"subtended_by(angle, straight_line, straight_line)",,,,,,
"subtended_by(side_of_square, side_of_square, right_angle)",,,,,,
"subtended_by(side_of_triangle, angle)",,,,,,
"subtended_by(side_of_triangle, right_angle)",,,"subtended_by(angle, straight_line, straight_line)",,,
"subtended_by(side_of_triangle, side_of_triangle, angle)",,,,,,
"subtended_by(side_of_triangle, side_of_triangle, right_angle)",,,,,,
"subtended_by(straight_line, straight_line, angle)",,,,,,
"under_base(angle, isosceles_triangle)",,,"under_base(angle, rectilinear_figure)",,,
"unequal(angle, angle)",,,,,,
"unequal(finite_straight_line, finite_straight_line)",,,"unequal(object, object)",,,
"unequal(finite_straight_line, finite_straight_line)",,,"unequal(object, object)",,,
"unequal(side_of_triangle, side_of_triangle)",,,,,,
